Flight_Number,Departure,Arrival,Departure_Time,Arrival_Time,Airline_Name,Plane_Type,Status
10000,GWD,KHI,2020-12-17 19:56:24,2020-12-18 09:27:02,Thai Airways,Air-Bus,On-time
1002,PEW,BHV,2020-12-31 08:34:24,2020-12-31 13:39:42,Singapore Airlines,Air-Bus,On-time
1008,KHI,MUX,2020-12-18 18:04:48,2020-12-19 14:24:22,Air Canada,Air-Bus,On-time
1012,PEW,BHV,2020-12-21 04:35:16,2020-12-21 11:31:53,Thai Airways,Air-Bus,On-time
1013,LHE,PEW,2021-01-09 05:10:34,2021-01-09 17:40:31,American Airlines,Air-Bus,On-time
1014,KHI,ISB,2021-01-16 20:43:45,2021-01-16 23:39:44,Thai Airways,Air-Bus,On-time
1015,LHE,UET,2021-01-12 15:09:53,2021-01-13 05:05:29,Qatar Airways,Air-Bus,On-time
1016,KHI,GWD,2020-12-28 15:59:00,2020-12-28 20:48:31,Air China,Air-Bus,On-time
1017,GWD,ISB,2020-12-23 01:00:44,2020-12-23 21:45:21,United Airlines,Air-Bus,On-time
1018,UET,MUX,2021-01-09 05:21:06,2021-01-09 22:39:43,Pia,Air-Bus,On-time
1019,UET,LHE,2021-01-09 13:45:00,2021-01-10 02:50:46,Air Canada,Air-Bus,On-time
1020,BHV,BHV,2020-12-11 04:24:20,2020-12-11 06:41:55,Serene Airways,Air-Bus,On-time
1022,LHE,KHI,2020-12-28 07:55:43,2020-12-28 11:18:10,Serene Airways,Air-Bus,On-time
1023,ISB,PEW,2020-12-19 11:43:29,2020-12-20 01:05:41,Air China,Air-Bus,On-time
1025,UET,GRT,2021-01-20 07:39:11,2021-01-20 13:12:06,Air China,Air-Bus,On-time
1026,GRT,GIL,2020-12-29 06:40:00,2020-12-29 17:58:31,Serene Airways,Air-Bus,On-time
1027,BHV,MUX,2021-01-19 21:29:14,2021-01-20 13:41:59,Air Blue,Air-Bus,On-time
103,GIL,MUX,2021-01-02 09:31:43,2021-01-02 14:06:24,IndiGo,Air-Bus,On-time
1030,BHV,LHE,2020-12-11 22:56:41,2020-12-12 12:59:10,Gulf Air,Air-Bus,On-time
1034,GIL,GWD,2020-12-09 23:09:56,2020-12-10 18:57:16,American Airlines,Air-Bus,On-time
1036,GIL,GIL,2020-12-02 06:17:07,2020-12-02 16:27:49,Turkish Airlines,Air-Bus,On-time
1037,MUX,UET,2020-12-14 00:40:25,2020-12-14 17:17:31,Virgin Austrailia,Air-Bus,On-time
1038,KHI,GWD,2021-01-20 01:15:15,2021-01-20 23:02:34,Serene Airways,Air-Bus,On-time
1039,BHV,GWD,2020-12-13 21:25:59,2020-12-14 13:46:37,Air France,Air-Bus,On-time
104,GRT,GWD,2021-01-07 02:43:15,2021-01-07 11:38:07,Fly Dubai,Air-Bus,On-time
1040,MUX,GRT,2020-12-14 08:59:39,2020-12-14 17:48:02,Gulf Air,Air-Bus,On-time
1044,GIL,GRT,2021-01-21 00:59:44,2021-01-21 20:34:17,Serene Airways,Air-Bus,On-time
1046,LHE,PEW,2020-12-02 04:45:58,2020-12-02 18:50:02,Thai Airways,Air-Bus,On-time
1049,BHV,UET,2021-01-28 04:55:35,2021-01-29 02:09:57,Air France,Air-Bus,On-time
105,LHE,PEW,2021-01-12 09:18:21,2021-01-13 05:29:27,Pia,Air-Bus,On-time
1054,KHI,ISB,2021-01-02 16:41:13,2021-01-03 01:22:42,Singapore Airlines,Air-Bus,On-time
1055,PEW,PEW,2021-01-09 10:13:55,2021-01-10 03:12:46,Etihad Airways,Air-Bus,On-time
1056,GIL,PEW,2021-01-22 17:36:36,2021-01-23 11:50:44,IndiGo,Air-Bus,On-time
1057,PEW,UET,2021-01-10 00:25:29,2021-01-10 13:48:02,Air Blue,Air-Bus,On-time
1060,BHV,MUX,2020-12-08 07:08:42,2020-12-08 21:17:07,IndiGo,Air-Bus,On-time
1062,UET,LHE,2021-01-29 08:12:03,2021-01-30 01:45:58,Emirates,Air-Bus,On-time
1064,MUX,UET,2021-01-29 11:58:36,2021-01-29 18:34:09,Air France,Air-Bus,On-time
1065,GIL,MUX,2021-01-13 04:54:50,2021-01-14 01:49:09,Thai Airways,Air-Bus,On-time
1067,UET,BHV,2020-12-09 02:48:09,2020-12-09 12:25:25,Qatar Airways,Air-Bus,On-time
107,MUX,UET,2020-12-17 21:12:32,2020-12-18 13:03:23,Air France,Air-Bus,On-time
1072,ISB,MUX,2021-01-08 23:12:07,2021-01-09 18:49:59,Etihad Airways,Air-Bus,On-time
1074,GWD,ISB,2021-01-17 00:52:31,2021-01-17 21:12:09,United Airlines,Air-Bus,On-time
1075,LHE,LHE,2020-12-23 00:22:50,2020-12-23 10:35:21,American Airlines,Air-Bus,On-time
1076,KHI,UET,2020-12-25 18:15:01,2020-12-26 12:22:05,Etihad Airways,Air-Bus,On-time
1078,LHE,GRT,2020-12-24 06:19:21,2020-12-25 04:08:23,Turkish Airlines,Air-Bus,On-time
108,PEW,BHV,2020-12-05 12:48:06,2020-12-05 23:47:18,Qatar Airways,Air-Bus,On-time
1080,GWD,KHI,2020-12-13 13:05:49,2020-12-13 16:09:11,Fly Dubai,Air-Bus,On-time
1081,ISB,KHI,2021-01-26 18:32:44,2021-01-27 15:44:53,Air France,Air-Bus,On-time
1083,GWD,LHE,2020-12-10 00:25:54,2020-12-10 22:53:39,Qatar Airways,Air-Bus,On-time
1084,BHV,MUX,2020-12-15 11:48:36,2020-12-16 04:04:14,Air France,Air-Bus,On-time
109,GWD,BHV,2020-12-08 09:59:56,2020-12-08 14:34:19,IndiGo,Air-Bus,On-time
1090,GWD,GIL,2021-01-22 00:24:59,2021-01-22 18:50:14,Emirates,Air-Bus,On-time
1096,PEW,UET,2021-01-05 17:12:37,2021-01-06 06:48:39,EVA Air,Air-Bus,On-time
1099,LHE,GRT,2020-12-10 00:00:36,2020-12-10 21:00:54,Air China,Air-Bus,On-time
110,GRT,GWD,2020-12-29 01:50:50,2020-12-29 20:18:53,Thai Airways,Air-Bus,On-time
1100,UET,GIL,2020-12-14 16:32:09,2020-12-15 10:37:53,British Airways,Air-Bus,On-time
1102,PEW,PEW,2020-12-29 14:03:52,2020-12-30 08:37:15,Gulf Air,Air-Bus,On-time
1106,BHV,GRT,2021-01-09 15:34:57,2021-01-09 18:43:07,Virgin Austrailia,Air-Bus,On-time
1109,ISB,UET,2020-12-10 18:13:35,2020-12-11 12:23:20,EVA Air,Air-Bus,On-time
111,GRT,GWD,2021-01-22 14:07:29,2021-01-22 17:45:42,Singapore Airlines,Air-Bus,On-time
1110,PEW,PEW,2021-01-05 13:59:58,2021-01-05 19:35:17,EVA Air,Air-Bus,On-time
1111,KHI,GWD,2020-12-11 18:24:40,2020-12-12 15:32:24,EVA Air,Air-Bus,On-time
1113,GIL,ISB,2021-01-12 10:19:43,2021-01-13 01:48:02,Fly Dubai,Air-Bus,On-time
1114,GRT,BHV,2020-12-03 03:49:49,2020-12-03 07:13:01,Air China,Air-Bus,On-time
1115,LHE,GWD,2021-01-13 01:34:42,2021-01-13 07:34:05,Gulf Air,Air-Bus,On-time
1116,LHE,GIL,2020-12-18 11:43:06,2020-12-19 08:48:51,Turkish Airlines,Air-Bus,On-time
1117,MUX,LHE,2021-01-02 18:53:47,2021-01-03 14:04:51,Qatar Airways,Air-Bus,On-time
112,PEW,GWD,2020-12-15 03:39:32,2020-12-15 06:08:25,Qatar Airways,Air-Bus,On-time
1121,MUX,KHI,2020-12-10 10:21:39,2020-12-11 02:33:43,Fly Dubai,Air-Bus,On-time
1122,UET,ISB,2020-12-04 19:30:35,2020-12-05 09:16:01,Air Canada,Air-Bus,On-time
1123,UET,PEW,2021-01-28 13:22:55,2021-01-29 09:49:36,IndiGo,Air-Bus,On-time
1125,LHE,BHV,2020-12-06 20:33:33,2020-12-07 11:57:19,Pia,Air-Bus,On-time
1126,GIL,LHE,2020-12-09 07:54:42,2020-12-09 15:11:41,British Airways,Air-Bus,On-time
1127,ISB,UET,2020-12-28 03:09:54,2020-12-28 13:03:22,Etihad Airways,Air-Bus,On-time
1128,GWD,BHV,2021-01-20 19:34:16,2021-01-21 14:55:11,British Airways,Air-Bus,On-time
1129,MUX,ISB,2021-01-05 14:41:42,2021-01-05 19:58:29,Air Blue,Air-Bus,On-time
113,GRT,PEW,2020-11-30 06:39:59,2020-12-01 02:58:50,IndiGo,Air-Bus,On-time
1130,UET,BHV,2020-12-17 07:11:26,2020-12-17 21:15:43,United Airlines,Air-Bus,On-time
1135,KHI,PEW,2021-01-28 20:31:08,2021-01-29 10:29:37,Air Blue,Air-Bus,On-time
1136,GWD,LHE,2021-01-04 10:27:29,2021-01-04 12:33:24,Air Blue,Air-Bus,On-time
1137,MUX,MUX,2020-12-08 21:12:22,2020-12-09 01:36:25,British Airways,Air-Bus,On-time
1139,GIL,MUX,2020-12-25 14:27:59,2020-12-26 05:51:41,Pia,Air-Bus,On-time
1141,PEW,KHI,2020-12-23 04:14:40,2020-12-23 16:00:43,Etihad Airways,Air-Bus,On-time
1143,PEW,UET,2021-01-09 01:16:16,2021-01-09 13:25:43,United Airlines,Air-Bus,On-time
1145,GWD,BHV,2021-01-22 01:28:02,2021-01-22 21:54:54,Air France,Air-Bus,On-time
1146,GIL,MUX,2020-12-10 23:18:26,2020-12-11 19:23:09,United Airlines,Air-Bus,On-time
1148,GRT,GWD,2020-12-29 01:44:02,2020-12-29 06:29:32,Turkish Airlines,Air-Bus,On-time
1151,GIL,BHV,2020-12-05 03:24:28,2020-12-05 14:49:52,Air France,Air-Bus,On-time
1153,UET,GRT,2020-12-19 23:57:21,2020-12-20 16:13:52,Gulf Air,Air-Bus,On-time
1155,PEW,GWD,2021-01-18 03:39:34,2021-01-19 00:04:32,Fly Dubai,Air-Bus,On-time
1156,UET,UET,2020-12-09 16:29:14,2020-12-09 19:00:09,Pia,Air-Bus,On-time
1157,GRT,KHI,2020-12-03 21:52:30,2020-12-04 02:34:42,IndiGo,Air-Bus,On-time
1158,GIL,GWD,2021-01-06 03:35:00,2021-01-06 09:23:55,United Airlines,Air-Bus,On-time
1159,GWD,BHV,2020-12-18 20:29:30,2020-12-19 09:43:27,EVA Air,Air-Bus,On-time
1160,UET,GRT,2020-12-10 02:49:02,2020-12-10 20:00:59,Air Canada,Air-Bus,On-time
1161,GWD,PEW,2021-01-16 04:36:53,2021-01-16 09:54:08,Singapore Airlines,Air-Bus,On-time
1162,UET,LHE,2020-12-14 19:28:55,2020-12-15 07:15:02,Singapore Airlines,Air-Bus,On-time
1163,LHE,GRT,2020-12-04 17:57:11,2020-12-05 02:30:37,Thai Airways,Air-Bus,On-time
1164,MUX,MUX,2020-12-27 09:40:09,2020-12-28 04:31:40,United Airlines,Air-Bus,On-time
1165,GIL,GWD,2021-01-16 09:46:14,2021-01-16 11:51:03,Serene Airways,Air-Bus,On-time
1168,MUX,LHE,2021-01-18 20:50:10,2021-01-19 13:00:28,Virgin Austrailia,Air-Bus,On-time
117,MUX,ISB,2021-01-22 21:32:42,2021-01-23 17:42:16,Serene Airways,Air-Bus,On-time
1171,MUX,BHV,2020-12-27 02:25:55,2020-12-28 00:11:07,Etihad Airways,Air-Bus,On-time
1173,GIL,MUX,2021-01-07 01:12:07,2021-01-07 18:40:36,Air China,Air-Bus,On-time
1177,LHE,LHE,2021-01-29 03:39:50,2021-01-29 12:49:08,Singapore Airlines,Air-Bus,On-time
1179,ISB,UET,2021-01-19 00:51:19,2021-01-19 13:48:28,Air China,Air-Bus,On-time
118,MUX,KHI,2020-12-24 18:21:32,2020-12-24 22:13:10,Air Canada,Air-Bus,On-time
1180,KHI,KHI,2021-01-04 05:45:27,2021-01-04 18:54:35,Singapore Airlines,Air-Bus,On-time
1182,LHE,PEW,2020-12-19 14:18:55,2020-12-19 18:39:40,American Airlines,Air-Bus,On-time
1183,GIL,GWD,2020-12-03 15:40:22,2020-12-04 10:54:25,Pia,Air-Bus,On-time
1186,UET,PEW,2020-12-31 02:28:03,2020-12-31 20:00:34,Singapore Airlines,Air-Bus,On-time
1189,GRT,ISB,2020-12-10 05:33:58,2020-12-10 15:12:33,Fly Dubai,Air-Bus,On-time
1190,GWD,GIL,2021-01-20 07:30:54,2021-01-21 03:01:18,Air Canada,Air-Bus,On-time
1191,LHE,GRT,2021-01-15 07:38:02,2021-01-15 12:11:24,Turkish Airlines,Air-Bus,On-time
1192,BHV,UET,2021-01-26 11:50:04,2021-01-26 23:56:41,American Airlines,Air-Bus,On-time
1193,BHV,ISB,2021-01-29 14:07:43,2021-01-30 14:02:49,Pia,Air-Bus,On-time
1194,KHI,BHV,2020-12-09 00:26:43,2020-12-09 22:32:21,Air Blue,Air-Bus,On-time
1195,LHE,LHE,2020-12-04 23:38:28,2020-12-05 12:18:22,Pia,Air-Bus,On-time
1196,GWD,LHE,2020-12-23 12:37:08,2020-12-24 08:38:34,United Airlines,Air-Bus,On-time
1198,GWD,GIL,2021-01-25 12:28:12,2021-01-25 23:57:30,Virgin Austrailia,Air-Bus,On-time
12,GWD,ISB,2021-01-07 22:23:45,2021-01-08 09:05:47,Pia,Air-Bus,On-time
1201,KHI,UET,2020-12-01 14:15:07,2020-12-02 02:57:21,Air France,Air-Bus,On-time
1203,LHE,UET,2020-12-08 17:29:46,2020-12-08 19:58:36,Virgin Austrailia,Air-Bus,On-time
1204,ISB,GIL,2021-01-13 10:39:41,2021-01-14 03:42:57,Singapore Airlines,Air-Bus,On-time
1207,BHV,KHI,2021-01-24 16:54:27,2021-01-25 09:36:10,United Airlines,Air-Bus,On-time
121,KHI,UET,2020-12-18 23:45:01,2020-12-19 05:41:38,Singapore Airlines,Air-Bus,On-time
1216,GRT,GWD,2021-01-11 04:09:18,2021-01-11 14:49:52,Air China,Air-Bus,On-time
1217,UET,PEW,2021-01-24 20:56:19,2021-01-25 06:52:09,Air Blue,Air-Bus,On-time
1218,GWD,GWD,2021-01-08 11:01:13,2021-01-08 17:40:32,EVA Air,Air-Bus,On-time
1219,LHE,BHV,2021-01-14 23:54:15,2021-01-15 03:31:56,IndiGo,Air-Bus,On-time
1220,GIL,GIL,2021-01-02 10:10:47,2021-01-03 02:51:55,IndiGo,Air-Bus,On-time
1221,KHI,BHV,2021-01-20 16:27:41,2021-01-21 04:49:38,Thai Airways,Air-Bus,On-time
1222,MUX,BHV,2020-12-30 02:20:24,2020-12-31 01:11:39,American Airlines,Air-Bus,On-time
1223,UET,GRT,2020-12-06 19:39:57,2020-12-07 07:27:46,Fly Dubai,Air-Bus,On-time
1224,BHV,GWD,2020-12-09 10:54:03,2020-12-10 05:11:23,Fly Dubai,Air-Bus,On-time
1225,BHV,LHE,2021-01-06 08:28:28,2021-01-06 22:43:46,Etihad Airways,Air-Bus,On-time
1226,GIL,KHI,2021-01-21 13:16:03,2021-01-21 18:25:47,British Airways,Air-Bus,On-time
1227,MUX,LHE,2020-12-27 06:48:20,2020-12-28 05:04:05,Air China,Air-Bus,On-time
1229,GIL,GIL,2021-01-28 21:43:17,2021-01-29 10:56:50,Air China,Air-Bus,On-time
1230,LHE,GIL,2021-01-15 09:03:53,2021-01-15 13:05:26,IndiGo,Air-Bus,On-time
1231,GIL,BHV,2020-12-22 00:38:48,2020-12-22 12:04:29,EVA Air,Air-Bus,On-time
1233,MUX,ISB,2020-12-16 18:02:08,2020-12-17 01:01:23,Emirates,Air-Bus,On-time
1234,PEW,GRT,2021-01-12 02:38:11,2021-01-12 13:27:03,British Airways,Air-Bus,On-time
1235,UET,BHV,2020-12-12 19:08:11,2020-12-13 15:34:31,Air France,Air-Bus,On-time
1238,UET,GIL,2021-01-29 05:04:50,2021-01-29 15:01:12,Pia,Air-Bus,On-time
1240,PEW,BHV,2021-01-17 10:46:11,2021-01-17 12:46:27,Pia,Air-Bus,On-time
1242,LHE,KHI,2021-01-11 09:15:30,2021-01-11 16:58:47,Air Canada,Air-Bus,On-time
1243,LHE,PEW,2021-01-08 19:23:47,2021-01-09 13:32:56,Air Canada,Air-Bus,On-time
1244,GWD,GWD,2021-01-29 12:42:46,2021-01-30 08:02:44,Air Canada,Air-Bus,On-time
1247,PEW,KHI,2020-12-23 07:27:11,2020-12-24 03:23:25,Fly Dubai,Air-Bus,On-time
125,LHE,GIL,2020-12-31 10:19:09,2020-12-31 20:14:15,Qatar Airways,Air-Bus,On-time
1253,GRT,MUX,2020-12-10 11:13:52,2020-12-11 05:44:17,Fly Dubai,Air-Bus,On-time
1259,LHE,ISB,2020-12-19 07:58:33,2020-12-19 11:13:05,United Airlines,Air-Bus,On-time
126,GIL,GWD,2021-01-03 13:30:30,2021-01-04 11:28:29,Serene Airways,Air-Bus,On-time
1260,PEW,MUX,2021-01-11 15:20:11,2021-01-11 18:14:08,Air France,Air-Bus,On-time
1263,BHV,KHI,2020-12-20 11:52:32,2020-12-20 19:03:09,Air China,Air-Bus,On-time
1264,PEW,LHE,2020-12-22 15:57:46,2020-12-23 04:20:33,Air Canada,Air-Bus,On-time
1266,BHV,MUX,2021-01-15 19:56:48,2021-01-16 00:34:14,Serene Airways,Air-Bus,On-time
1268,MUX,LHE,2020-12-07 01:13:24,2020-12-07 15:10:41,United Airlines,Air-Bus,On-time
1269,PEW,MUX,2020-12-19 14:56:32,2020-12-20 06:09:41,Singapore Airlines,Air-Bus,On-time
1272,KHI,PEW,2020-11-30 07:32:28,2020-12-01 02:47:03,Etihad Airways,Air-Bus,On-time
1274,KHI,KHI,2020-12-27 20:27:55,2020-12-28 05:46:09,Fly Dubai,Air-Bus,On-time
1276,GIL,PEW,2021-01-01 03:22:17,2021-01-02 00:13:33,IndiGo,Air-Bus,On-time
1277,ISB,PEW,2020-12-23 08:51:29,2020-12-24 04:36:12,Singapore Airlines,Air-Bus,On-time
1278,LHE,GIL,2020-12-17 11:05:32,2020-12-17 23:03:57,Pia,Air-Bus,On-time
128,GIL,ISB,2020-12-21 10:30:56,2020-12-22 08:49:40,EVA Air,Air-Bus,On-time
